study_hours,attendance,homework,midterm,final_exam
9.5,88.7,93.7,84,99
7.6,84.9,83.6,99,81
11.0,88.0,92.6,87,95
10.5,91.3,100.0,77,100
8.1,74.1,75.6,80,94
3.5,60.2,67.8,55,55
6.8,65.1,72.8,62,78
6.5,88.8,84.2,93,72
6.2,74.1,86.1,60,82
8.2,89.0,92.7,88,84
3.0,63.0,56.8,74,53
7.4,64.7,70.3,75,80
10.6,85.6,85.9,97,98
7.9,72.4,86.4,79,84
10.1,88.6,95.6,100,96
5.7,71.0,81.1,72,75
9.8,79.8,76.2,91,90
4.8,73.5,73.4,61,73
6.0,60.8,69.8,66,61
8.0,81.0,79.1,86,91
4.5,69.1,66.0,84,51
8.4,76.7,81.5,97,82
12.8,89.9,100.0,99,97
6.7,71.5,75.6,57,90
6.0,83.4,70.9,80,100
4.1,54.7,53.6,61,63
10.1,82.5,79.4,87,100
7.8,63.3,73.4,85,91
8.1,80.1,74.3,76,83
7.9,81.3,79.6,74,77
3.3,67.1,44.9,58,65
10.8,87.1,100.0,92,89
4.6,77.4,77.4,74,97
6.4,76.8,78.0,74,94
10.7,76.4,86.6,93,96
2.7,50.0,40.0,50,50
7.5,70.6,67.7,60,79
7.5,83.0,88.0,81,93
6.1,66.9,66.3,65,53
6.9,75.8,74.4,71,80
11.3,88.4,93.8,93,97
3.0,60.7,57.4,72,64
9.4,77.1,90.3,77,88
7.7,71.3,91.3,82,62
8.0,74.7,80.0,84,83
1.0,50.0,50.6,56,60
11.5,74.4,96.4,76,100
7.2,67.1,87.7,79,58
7.3,70.2,76.2,72,86
2.5,62.2,68.8,49,58
7.1,69.9,79.2,75,67
11.4,94.0,99.3,95,94
9.9,82.7,93.2,89,95
6.2,77.2,74.2,82,81
6.2,65.8,63.2,64,62
8.9,80.2,96.6,100,86
2.2,56.4,51.7,40,50
7.3,72.1,71.0,70,91
6.1,65.7,66.8,77,64
7.8,82.1,88.3,94,79
9.7,77.5,84.0,96,93
6.5,64.5,74.0,65,63
4.7,68.8,51.6,69,68
4.9,74.9,74.4,65,65
8.4,68.3,75.7,73,79
7.1,75.0,85.2,79,75
3.1,67.0,64.1,72,54
6.6,72.7,73.9,75,61
8.8,84.7,95.4,100,85
6.4,72.5,87.3,60,78
2.4,50.0,40.0,40,58
4.1,63.5,53.7,67,53
10.2,77.7,83.1,89,89
10.5,86.4,85.3,89,89
8.5,81.9,84.3,92,81
6.1,72.8,83.6,72,70
3.6,68.3,58.6,65,47
9.4,72.8,78.0,92,73
6.3,72.7,66.5,84,86
1.0,50.0,50.9,40,42
6.9,78.9,77.0,79,72
10.1,80.9,92.1,86,91
6.0,70.1,64.2,78,83
7.2,80.2,86.0,88,83
7.1,80.8,80.6,72,80
1.2,55.8,51.6,59,50
9.1,81.1,79.5,75,79
2.7,65.1,56.7,63,59
9.4,89.5,87.3,90,88
2.0,63.1,63.3,55,51
9.6,66.3,82.1,82,76
10.4,92.1,94.5,96,93
5.1,59.2,72.6,71,69
3.4,77.4,80.4,68,59
4.1,68.0,57.7,64,73
2.3,73.4,72.0,51,50
5.7,63.0,64.9,46,65
11.5,81.0,92.4,82,99
5.9,84.5,79.6,75,83
5.1,58.9,64.9,61,64
7.6,72.7,80.6,92,69
11.4,86.8,91.5,100,98
10.3,90.7,83.5,96,91
2.7,50.0,51.4,55,54
5.6,64.3,60.2,63,59
5.9,70.7,65.0,69,65
6.5,76.3,77.2,80,63
5.4,71.2,74.4,57,71
9.9,82.4,89.2,93,92
8.4,79.4,84.6,77,82
10.0,82.6,89.1,86,97
4.1,71.5,59.3,57,68
6.9,76.2,84.6,74,81
4.0,73.6,71.0,71,68
4.3,63.5,66.0,62,63
2.7,61.9,51.7,48,55
1.3,61.0,57.6,51,44
3.9,63.4,44.2,63,66
5.6,66.5,69.4,71,77
6.6,68.3,69.0,74,85
5.6,62.6,60.1,49,69
2.7,52.0,40.0,43,56
2.8,50.0,52.2,48,54
8.6,79.5,75.2,83,88
4.9,57.6,69.2,58,58
6.5,80.0,79.6,75,83
12.5,100.0,100.0,98,100
3.1,59.3,51.7,70,60
2.5,61.9,59.8,53,46
4.5,63.3,63.2,59,69
3.8,52.0,50.0,66,51
13.1,97.4,99.5,100,100
3.2,78.9,59.8,72,78
6.2,64.9,67.4,72,76
6.7,63.6,70.5,65,53
4.5,56.4,63.7,75,74
4.9,64.4,69.7,73,62
6.1,87.0,79.3,76,81
8.1,70.8,76.6,69,76
11.8,95.0,100.0,95,100
9.4,78.1,96.3,75,84
11.4,74.4,99.0,76,90
6.0,77.0,52.6,59,70
6.6,66.9,70.0,62,68
4.1,66.8,67.6,75,58
5.6,70.3,68.0,70,58
7.5,69.6,69.1,63,85
6.1,79.6,78.2,63,68
8.6,74.2,74.0,80,80
3.7,61.6,56.3,40,64
